,symbol,net_profit_cagr,north_net_inflow,ps,type,percent,has_follow,tick_size,pb_ttm,float_shares,current,amplitude,pcf,current_year_percent,float_market_capital,north_net_inflow_time,market_capital,dividend_yield,lot_size,roe_ttm,total_percent,percent5m,income_cagr,amount,chg,issue_date_ts,eps,main_net_inflows,volume,volume_ratio,pb,followers,turnover_rate,first_percent,name,pe_ttm,total_shares,limitup_days,codename
2731,SZ002021,,,1.4766,11,0.53,False,0.01,9.6586,687792540,1.91,2.11,,-2.55,1313683751.0,,1313726726.0,0.0,100,-130.76659672917006,59.63,-0.52,7.21416296829851,21527588.0,0.01,1089820800000,-0.75,-2238025.0,11256100.0,0.93,9.55,18505.0,1.64,13.19,ST中捷,,687815040,0,SZ002021 ST中捷
2732,SZ002022,68.6265194624476,,0.926,11,0.08,False,0.01,1.3814,514147607,12.55,1.59,2.997,1.46,6452552468.0,,6454425543.0,4.781,100,22.350853385326115,847.24,0.16,42.38603320154799,49151014.85,0.01,1090339200000,1.89,49826.0,3904906.0,0.62,1.381,48556.0,0.76,44.69,科华生物,6.648,514296856,0,SZ002022 科华生物
2733,SZ002023,-40.96305279092724,-9501848.866609773,7.8061,11,-0.1,False,0.01,1.7276,683658067,9.6,1.98,23.1793,16.08,6563117443.0,1681315200000.0,7265193629.0,0.0,100,1.8021177130653,555.47,0.1,6.156208408378494,78641698.22,-0.01,1090339200000,0.1,-4827343.0,8210517.0,0.67,1.727,128764.0,1.2,27.61,海特高新,98.854,756791003,0,SZ002023 海特高新
2734,SZ002024,,,0.2491,11,1.44,False,0.01,0.6777,7883454518,2.11,2.4,,-6.64,16634089033.0,,19644183672.0,0.0,100,-82.08513872462848,521.69,0.0,-37.17858868760081,34719366.19,0.03,1090339200000,-4.32,4978308.0,16464302.0,1.08,0.678,710063.0,0.21,100.24,ST易购,,9310039655,0,SZ002024 ST易购
2735,SZ002025,10.744309941159024,813833.406620193,4.7387,11,2.33,False,0.01,5.1034,452561028,62.77,4.91,74.4075,-5.25,28407255728.0,1681315200000.0,28413609809.0,0.319,100,9.98489567556605,2687.67,-0.02,21.42291428962839,168257658.35,1.43,1090771200000,1.18,5136818.0,2708731.0,1.1,5.103,41710.0,0.6,105.14,航天电器,53.106,452662256,0,SZ002025 航天电器
2736,SZ002026,,,1.5253,11,0.72,False,0.01,1.3166,427281171,9.73,0.83,9.6272,2.64,4157445794.0,,4328728725.0,1.531,100,9.971261599767985,224.15,0.0,19.010149337331605,26678251.25,0.07,1090857600000,0.68,-1022189.0,2748557.0,0.62,1.317,39076.0,0.64,24.19,山东威达,14.206,444884761,0,SZ002026 山东威达
2737,SZ002027,15.920152223342242,-70489223.4386767,8.4497,11,-4.15,False,0.01,5.6023,14442199726,6.47,4.89,12.2061,-1.18,93441032227.0,1681315200000.0,93441032227.0,7.388,100,21.249888641982174,528.89,0.15,-6.850983229865659,1332282793.09,-0.28,1091548800000,0.26,-186080084.0,202837811.0,1.06,5.016,400048.0,1.4,38.54,分众传媒,24.777,14442199726,0,SZ002027 分众传媒
2738,SZ002028,23.83318877715968,-15907113.337038856,3.4299,11,-1.25,False,0.01,3.6745,597036286,42.68,2.22,42.9263,11.67,25481508686.0,1681315200000.0,32841352282.0,0.466,100,13.466287383308131,3460.23,-0.07,15.945363272029622,133719479.38,-0.54,1091635200000,1.42,322603.0,3120726.0,0.57,3.673,53047.0,0.52,52.22,思源电气,30.003,769478732,0,SZ002028 思源电气
2739,SZ002029,-24.302457333451432,,1.3014,11,-0.54,False,0.01,0.6794,723702668,5.56,1.61,17.384,0.36,4023786834.0,,4201525200.0,0.0,100,2.4725710540898427,428.97,0.36,-3.7726038417437824,24071985.0,-0.03,1091721600000,0.2,-4422407.0,4330000.0,0.77,0.68,29327.0,0.6,65.77,七匹狼,27.89,755670000,0,SZ002029 七匹狼
2740,SZ002030,288.66901794454367,-1930068.413221733,1.8757,11,0.06,False,0.01,1.9994,1403446032,16.1,1.12,5.4383,3.47,22595481115.0,1681315200000.0,22595481115.0,10.87,100,58.03355364909961,2489.26,0.0,122.18760831501504,169846355.71,0.01,1091980800000,3.86,-3194191.3000000007,10530910.0,1.03,2.0,205173.0,0.75,113.29,达安基因,4.175,1403446032,0,SZ002030 达安基因
2741,SZ002031,,-12613441.402452162,5.2098,11,-0.64,False,0.01,2.8192,1933821229,3.12,1.27,68.4432,0.32,6033522234.0,1681315200000.0,6862114490.0,0.0,100,-17.68194107093577,423.23,-0.32,-10.544796026981274,136213685.32,-0.02,1092585600000,-0.21,-10273826.0,43574834.0,0.7,2.811,58752.0,2.25,17.3,巨轮智能,,2199395670,0,SZ002031 巨轮智能
2742,SZ002032,2.502014949122122,-13856740.31768204,2.0739,11,-0.58,False,0.01,5.9453,803746972,51.85,1.9,13.2381,4.83,41674280498.0,1681315200000.0,41831771503.0,8.274,100,28.21063334059401,3763.06,-0.15,0.529507131715401,48107576.5,-0.3,1092672000000,2.56,-1483820.0,924750.0,0.53,5.96,156403.0,0.12,-8.27,苏泊尔,20.231,806784407,0,SZ002032 苏泊尔
2743,SZ002034,19.737883913913645,44263.26970724468,2.6901,11,0.17,False,0.01,1.351,426667248,17.77,0.9,7.3229,-1.5,7581876997.0,1681315200000.0,7632144560.0,1.688,100,12.818217850615612,439.7,0.0,33.87106912393474,23664765.78,0.03,1093449600000,1.64,224007.0,1331140.0,0.85,1.351,27618.0,0.31,-9.0,旺能环境,10.835,429496036,0,SZ002034 旺能环境
