,symbol,name,codename
221,SH600283,钱江水利,SH600283 钱江水利
222,SH600284,浦东建设,SH600284 浦东建设
223,SH600285,羚锐制药,SH600285 羚锐制药
224,SH600287,江苏舜天,SH600287 江苏舜天
225,SH600288,大恒科技,SH600288 大恒科技
226,SH600289,ST信通,SH600289 ST信通
227,SH600290,ST华仪,SH600290 ST华仪
228,SH600292,远达环保,SH600292 远达环保
229,SH600293,三峡新材,SH600293 三峡新材
230,SH600295,鄂尔多斯,SH600295 鄂尔多斯
231,SH600297,广汇汽车,SH600297 广汇汽车
232,SH600298,安琪酵母,SH600298 安琪酵母
233,SH600299,安迪苏,SH600299 安迪苏
234,SH600300,维维股份,SH600300 维维股份
235,SH600301,南化股份,SH600301 南化股份
236,SH600302,标准股份,SH600302 标准股份
237,SH600303,ST曙光,SH600303 ST曙光
238,SH600305,恒顺醋业,SH600305 恒顺醋业
239,SH600306,*ST商城,SH600306 *ST商城
240,SH600307,酒钢宏兴,SH600307 酒钢宏兴
241,SH600308,华泰股份,SH600308 华泰股份
242,SH600309,万华化学,SH600309 万华化学
243,SH600310,桂东电力,SH600310 桂东电力
244,SH600312,平高电气,SH600312 平高电气
245,SH600313,农发种业,SH600313 农发种业
246,SH600315,上海家化,SH600315 上海家化
247,SH600316,洪都航空,SH600316 洪都航空
248,SH600318,新力金融,SH600318 新力金融
249,SH600319,亚星化学,SH600319 亚星化学
250,SH600320,振华重工,SH600320 振华重工
251,SH600321,正源股份,SH600321 正源股份
252,SH600322,天房发展,SH600322 天房发展
253,SH600323,瀚蓝环境,SH600323 瀚蓝环境
254,SH600325,华发股份,SH600325 华发股份
255,SH600326,西藏天路,SH600326 西藏天路
256,SH600327,大东方,SH600327 大东方
257,SH600328,中盐化工,SH600328 中盐化工
258,SH600329,达仁堂,SH600329 达仁堂
259,SH600330,天通股份,SH600330 天通股份
260,SH600331,宏达股份,SH600331 宏达股份
261,SH600332,白云山,SH600332 白云山
262,SH600333,长春燃气,SH600333 长春燃气
263,SH600335,国机汽车,SH600335 国机汽车
264,SH600336,澳柯玛,SH600336 澳柯玛
265,SH600337,美克家居,SH600337 美克家居
266,SH600338,西藏珠峰,SH600338 西藏珠峰
267,SH600339,中油工程,SH600339 中油工程
268,SH600340,华夏幸福,SH600340 华夏幸福
269,SH600343,航天动力,SH600343 航天动力
270,SH600345,长江通信,SH600345 长江通信
271,SH600346,恒力石化,SH600346 恒力石化
272,SH600348,华阳股份,SH600348 华阳股份
273,SH600350,山东高速,SH600350 山东高速
274,SH600351,亚宝药业,SH600351 亚宝药业
275,SH600352,浙江龙盛,SH600352 浙江龙盛
276,SH600353,旭光电子,SH600353 旭光电子
277,SH600354,敦煌种业,SH600354 敦煌种业
278,SH600355,精伦电子,SH600355 精伦电子
279,SH600356,恒丰纸业,SH600356 恒丰纸业
280,SH600358,国旅联合,SH600358 国旅联合
281,SH600359,新农开发,SH600359 新农开发
282,SH600360,华微电子,SH600360 华微电子
283,SH600361,创新新材,SH600361 创新新材
284,SH600362,江西铜业,SH600362 江西铜业
285,SH600363,联创光电,SH600363 联创光电
286,SH600365,ST通葡,SH600365 ST通葡
287,SH600366,宁波韵升,SH600366 宁波韵升
288,SH600367,红星发展,SH600367 红星发展
289,SH600368,五洲交通,SH600368 五洲交通
290,SH600369,西南证券,SH600369 西南证券
291,SH600370,三房巷,SH600370 三房巷
292,SH600371,万向德农,SH600371 万向德农
293,SH600372,中航电子,SH600372 中航电子
294,SH600375,汉马科技,SH600375 汉马科技
295,SH600376,首开股份,SH600376 首开股份
296,SH600377,宁沪高速,SH600377 宁沪高速
297,SH600378,昊华科技,SH600378 昊华科技
298,SH600379,宝光股份,SH600379 宝光股份
299,SH600380,健康元,SH600380 健康元
300,SH600381,青海春天,SH600381 青海春天
